CODGEO,libgeo,DEP,LIBEPCI,EPCI,tot_log_14_18,tot_lv_14_18,tx_lv_14_18,tot_lv_mi_14_18,tx_lv_mi_14_18,tot_lv_app_14_18,tx_lv_app_14_18,nb_lgt_tot_crees,nb_lgt_ind_crees,nb_lgt_col_crees,lat,lon,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
14365,Lion-sur-Mer,14,CU Caen la Mer,200065597,1730,100,6,68,69,29,29,23,23,0,49.300533,-0.322041,Lion-sur-Mer,0.62,municipality,14365,,Lion-sur-Mer,,14780,Lion-sur-Mer,"14, Calvados, Normandie",14365,,,
14383,Louvigny,14,CU Caen la Mer,200065597,1175,47,4,28,58,17,36,0,0,0,49.157091,-0.398733,Louvigny,0.52,municipality,14383,,Louvigny,,14111,Louvigny,"14, Calvados, Normandie",14383,,,
14407,Mathieu,14,CU Caen la Mer,200065597,910,48,5,43,89,5,11,7,7,0,49.253133,-0.37166,Mathieu,0.48,municipality,14407,,Mathieu,,14920,Mathieu,"14, Calvados, Normandie",14407,,,
14437,Mondeville,14,CU Caen la Mer,200065597,4998,351,7,140,40,205,58,62,2,60,49.169445,-0.314323,Mondeville,0.58,municipality,14437,,Mondeville,,14120,Mondeville,"14, Calvados, Normandie",14437,,,
14454,Mouen,14,CU Caen la Mer,200065597,691,39,6,37,95,2,5,6,6,0,49.147242,-0.48623,Mouen,0.42,municipality,14454,,Mouen,,14790,Mouen,"14, Calvados, Normandie",14454,,,
14488,Ouistreham,14,CU Caen la Mer,200065597,6639,277,4,147,53,129,46,112,52,60,49.275563,-0.259958,Ouistreham,0.58,municipality,14488,,Ouistreham,,14150,Ouistreham,"14, Calvados, Normandie",14488,,,
14495,Periers-sur-le-Dan,14,CU Caen la Mer,200065597,215,14,6,14,100,0,0,5,5,0,49.257718,-0.343192,Périers-sur-le-Dan,0.7,municipality,14495,,Périers-sur-le-Dan,,14112,Périers-sur-le-Dan,"14, Calvados, Normandie",14495,,,
14538,Castine-en-Plaine,14,CU Caen la Mer,200065597,504,18,3,12,67,6,33,0,0,0,49.113023,-0.308361,Castine-en-Plaine,0.72,municipality,14538,,Castine-en-Plaine,,14540,Castine-en-Plaine,"14, Calvados, Normandie",14538,,,
14542,Rosel,14,CU Caen la Mer,200065597,242,15,6,15,100,0,0,3,3,0,49.226257,-0.45455,Rosel,0.41,municipality,14542,,Rosel,,14740,Rosel,"14, Calvados, Normandie",14542,,,
14543,Rots,14,CU Caen la Mer,200065597,1027,46,4,39,86,6,14,7,7,0,49.225639,-0.491129,Rots,0.38,municipality,14543,,Rots,,14980,Rots,"14, Calvados, Normandie",14543,,,
14554,Le Castelet,14,CU Caen la Mer,200065597,547,13,2,11,84,2,16,0,0,0,49.082401,-0.280471,Le Castelet,0.73,municipality,14554,,Le Castelet,,14540,Le Castelet,"14, Calvados, Normandie",14554,,,
14556,Saint-Andre-sur-Orne,14,CU Caen la Mer,200065597,713,22,3,22,100,0,0,2,2,0,49.120824,-0.385261,Saint-André-sur-Orne,0.72,municipality,14556,,Saint-André-sur-Orne,,14320,Saint-André-sur-Orne,"14, Calvados, Normandie",14556,,,
14558,Saint-Aubin-d'Arquenay,14,CU Caen la Mer,200065597,417,9,2,9,100,0,0,13,13,0,49.261604,-0.287719,Saint-Aubin-d'Arquenay,0.73,municipality,14558,,Saint-Aubin-d'Arquenay,,14970,Saint-Aubin-d'Arquenay,"14, Calvados, Normandie",14558,,,
14566,Saint-Contest,14,CU Caen la Mer,200065597,1006,26,3,23,88,3,12,2,2,0,49.210367,-0.402935,Saint-Contest,0.64,municipality,14566,,Saint-Contest,,14280,Saint-Contest,"14, Calvados, Normandie",14566,,,
14587,Saint-Germain-la-Blanche-Herbe,14,CU Caen la Mer,200065597,1005,35,3,9,26,25,72,16,16,0,49.19773,-0.408507,Saint-Germain-la-Blanche-Herbe,0.78,municipality,14587,,Saint-Germain-la-Blanche-Herbe,,14280,Saint-Germain-la-Blanche-Herbe,"14, Calvados, Normandie",14587,,,
14610,Saint-Manvieu-Norrey,14,CU Caen la Mer,200065597,767,27,4,23,85,4,15,46,46,0,49.186544,-0.501437,Saint-Manvieu-Norrey,0.74,municipality,14610,,Saint-Manvieu-Norrey,,14740,Saint-Manvieu-Norrey,"14, Calvados, Normandie",14610,,,
14666,Sannerville,14,CU Caen la Mer,200065597,804,24,3,21,86,3,14,0,0,0,49.179869,-0.226916,Rue du 6 Juin (Sannerville) 14670 Saline,0.45,street,,,Rue du 6 Juin (Sannerville),,14670,Saline,"14, Calvados, Normandie",14712,14666,Sannerville,
14675,Soliers,14,CU Caen la Mer,200065597,788,16,2,13,81,3,19,47,47,0,49.135638,-0.290549,Soliers,0.48,municipality,14675,,Soliers,,14540,Soliers,"14, Calvados, Normandie",14675,,,
14685,Thaon,14,CU Caen la Mer,200065597,613,29,5,29,100,0,0,32,32,0,49.256917,-0.456594,Thaon,0.52,municipality,14685,,Thaon,,14610,Thaon,"14, Calvados, Normandie",14685,,,
14707,Tourville-sur-Odon,14,CU Caen la Mer,200065597,405,11,3,9,90,1,10,4,4,0,49.139775,-0.503156,Tourville-sur-Odon,0.7,municipality,14707,,Tourville-sur-Odon,,14210,Tourville-sur-Odon,"14, Calvados, Normandie",14707,,,
14712,Troarn,14,CU Caen la Mer,200065597,1559,107,7,65,61,37,34,1,1,0,49.181359,-0.182429,Rue Pasteur (Troarn) 14670 Saline,0.28,street,,,Rue Pasteur (Troarn),,14670,Saline,"14, Calvados, Normandie",14712,14712,Troarn,
14738,Verson,14,CU Caen la Mer,200065597,1539,78,5,57,74,20,26,12,12,0,49.155537,-0.453541,Verson,0.55,municipality,14738,,Verson,,14790,Verson,"14, Calvados, Normandie",14738,,,
14758,Villons-les-Buissons,14,CU Caen la Mer,200065597,299,2,1,2,100,0,0,9,9,0,49.237405,-0.412467,Villons-les-Buissons,0.72,municipality,14758,,Villons-les-Buissons,,14610,Villons-les-Buissons,"14, Calvados, Normandie",14758,,,
